market_hash_name,currency,current_min_price,suggested_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Sticker | YEKINDAR (Gold) | Stockholm 2021,EUR,5.76,6.75,,,,,0,5.5,5.5,5.5,5.5,1,5.07,5.5,5.29,5.28,2,5.07,6.17,5.58,5.5,3
Sticker | hallzerk (Gold) | Paris 2023,EUR,1.7,0.96,,,,,0,,,,,0,0.69,1.07,0.87,0.85,3,0.63,1.07,0.78,0.78,9
★ Shadow Daggers | Tiger Tooth (Minimal Wear),EUR,177.28,168.4,,,,,0,,,,,0,138.79,138.79,138.79,138.79,1,120.53,160,138.87,136.48,10
AK-47 | VariCamo Grey (Minimal Wear),EUR,0.67,0.67,0.59,0.59,0.59,0.59,1,0.47,2.04,1.17,1.44,13,0.47,2.04,0.93,0.71,64,0.47,3.74,1.08,0.8,94
Sticker | Brehze (Gold) | Rio 2022,EUR,6.33,3.65,,,,,0,,,,,0,,,,,0,,,,,0
★ StatTrak™ Gut Knife | Case Hardened (Well-Worn),EUR,,154.97,,,,,0,,,,,0,,,,,0,,,,,0
XM1014 | Hieroglyph (Factory New),EUR,0.11,0.14,0.29,0.29,0.29,0.29,1,0.1,0.29,0.15,0.12,8,0.1,5,0.43,0.12,17,0.08,5,0.3,0.17,97
Sticker | Karsa | Boston 2018,EUR,6.16,4.81,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | w0nderful (Holo) | Rio 2022,EUR,9.49,0.86,,,,,0,,,,,0,,,,,0,1.79,1.79,1.79,1.79,1
MP9 | Airlock (Battle-Scarred),EUR,1.61,2.02,1.45,1.45,1.45,1.45,1,1.04,2.56,1.73,1.65,4,1.04,2.7,1.75,1.54,13,1.04,3,2.19,2.26,38
Sticker | LETN1 (Foil) | Berlin 2019,EUR,1.89,0.61,,,,,0,,,,,0,,,,,0,0.38,0.98,0.48,0.38,6
MP5-SD | Condition Zero (Well-Worn),EUR,0.69,0.76,,,,,0,0.53,0.53,0.53,0.53,3,0.53,0.72,0.61,0.6,8,0.44,0.72,0.56,0.57,38
Sticker | SicK (Gold) | London 2018,EUR,,82.13,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | GeT_RiGhT | London 2018,EUR,1.39,0.74,,,,,0,0.61,0.61,0.61,0.61,1,0.61,0.61,0.61,0.61,1,0.61,0.61,0.61,0.61,1
StatTrak™ PP-Bizon | Antique (Field-Tested),EUR,13.15,15.69,,,,,0,,,,,0,12.51,12.72,12.62,12.62,2,8.89,13.23,11.6,12.35,7
Sealed Graffiti | Dead Now (Violent Violet),EUR,0.79,0.19,,,,,0,0.16,0.78,0.47,0.47,2,0.16,0.8,0.58,0.78,3,0.1,0.8,0.39,0.16,5
Five-SeveN | Fairy Tale (Battle-Scarred),EUR,20,24.65,,,,,0,19.49,20.93,20.21,20.21,2,19.49,21.03,20.36,20.46,4,16.63,25.99,19.69,19,19
Sticker | steel | Krakow 2017,EUR,2.64,1.9,,,,,0,,,,,0,,,,,0,1.29,1.99,1.63,1.54,7
★ Survival Knife | Scorched (Well-Worn),EUR,136.05,129.58,87.85,87.85,87.85,87.85,1,87.85,87.85,87.85,87.85,1,87.85,94.45,91.15,91.15,2,87.85,122.55,103.41,102.58,5
StatTrak™ Glock-18 | Neo-Noir (Minimal Wear),EUR,75,94.65,70,70,70,70,1,67.17,76.49,72.11,71.44,6,67.17,85,73.26,72.83,20,64.03,109,78.27,75.87,57
MAG-7 | Hard Water (Field-Tested),EUR,1.95,2.28,,,,,0,1.71,1.71,1.71,1.71,1,1.5,2.35,1.94,2.09,7,1.5,2.75,2.14,2.16,25
Sealed Graffiti | 200 IQ (Monarch Blue),EUR,2.92,0.24,,,,,0,,,,,0,,,,,0,0.2,0.45,0.32,0.3,3
★ Specialist Gloves | Crimson Kimono (Field-Tested),EUR,4427.14,4507.31,,,,,0,,,,,0,4499,4499,4499,4499,1,2578.83,4701.69,3450.68,3292.68,21
Sticker | forZe eSports (Holo) | Paris 2023,EUR,1.09,0.33,,,,,0,0.3,0.52,0.39,0.35,3,0.21,0.79,0.45,0.45,60,0.16,0.79,0.38,0.38,183
PP-Bizon | Space Cat (Minimal Wear),EUR,0.48,0.61,0.44,0.44,0.44,0.44,2,0.44,1.2,0.54,0.46,22,0.29,1.2,0.56,0.52,159,0.29,1.2,0.63,0.61,454
StatTrak™ Nova | Ranger (Factory New),EUR,2.79,2.47,,,,,0,,,,,0,2.05,2.56,2.31,2.3,2,1.46,4.49,2.59,2.39,14
MP7 | Olive Plaid (Minimal Wear),EUR,7.99,3.98,,,,,0,,,,,0,3.34,3.34,3.34,3.34,1,2.85,3.34,3.1,3.1,2
Sticker | HEN1 (Holo) | Copenhagen 2024,EUR,1.48,0.31,,,,,0,,,,,0,0.23,0.99,0.49,0.25,3,0.23,0.99,0.55,0.47,7
SCAR-20 | Outbreak (Factory New),EUR,0.31,0.43,0.34,0.34,0.34,0.34,1,0.3,0.41,0.34,0.33,4,0.3,0.6,0.37,0.34,20,0.3,1.28,0.39,0.38,78
Sticker | volt | Paris 2023,EUR,0.02,0.03,,,,,0,0.02,0.02,0.02,0.02,12,0.02,0.02,0.02,0.02,28,0.02,0.02,0.02,0.02,57
Zeus x27 | Olympus (Field-Tested),EUR,5.41,6.62,4.97,6.44,5.63,5.87,16,4.53,8.02,5.58,5.72,108,4.29,9.5,5.58,5.53,502,4,10.49,6.36,6.24,1596
