market_hash_name,currency,current_min_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Sticker | Karsa | Boston 2018,EUR,6.17,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Hobbit | London 2018,EUR,2.99,,,,,0,0.71,0.71,0.71,0.71,2,0.71,0.71,0.71,0.71,2,0.71,1.44,1.08,1.08,4
SG 553 | Phantom (Field-Tested),EUR,0.37,0.34,0.34,0.34,0.34,2,0.3,0.47,0.36,0.35,27,0.26,0.47,0.35,0.34,62,0.25,1,0.37,0.36,154
Sealed Graffiti | OMG (Wire Blue),EUR,3.96,,,,,0,,,,,0,0.43,1.97,0.86,0.52,4,0.13,1.97,0.64,0.44,6
★ M9 Bayonet | Black Laminate (Field-Tested),EUR,1000,,,,,0,,,,,0,777.74,950,888.16,936.73,3,757.07,960.27,875.36,875,13
Sealed Graffiti | X-Axes (Tracer Yellow),EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,12
MP7 | Forest DDPAT (Factory New),EUR,0.11,,,,,0,0.34,0.41,0.38,0.38,2,0.1,0.68,0.24,0.12,10,0.05,0.68,0.18,0.12,48
AUG | Bengal Tiger (Factory New),EUR,42.99,,,,,0,29.99,29.99,29.99,29.99,1,24.99,29.99,27.49,27.49,2,22.87,30.79,26.62,25.88,8
AK-47 | Crossfade (Battle-Scarred),EUR,1.99,,,,,0,2.07,2.07,2.07,2.07,1,0.78,2.07,1.42,1.65,12,0.78,2.16,1.57,1.68,20
SG 553 | Barricade (Factory New),EUR,9.57,,,,,0,,,,,0,7.25,12.42,8.97,8.64,16,5.82,12.42,8.32,7.46,26
Sealed Graffiti | Lambda (Wire Blue),EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,13,0.02,0.02,0.02,0.02,22,0.02,0.02,0.02,0.02,28
MAC-10 | Storm Camo (Battle-Scarred),EUR,0.09,,,,,0,0.02,0.03,0.02,0.02,3,0.02,0.03,0.03,0.03,13,0.02,0.08,0.03,0.03,19
★ StatTrak™ Nomad Knife | Blue Steel (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,276.56,276.56,276.56,276.56,1
Sticker | seized | Boston 2018,EUR,2.99,,,,,0,,,,,0,1.79,2.89,2.42,2.5,4,1.29,2.89,2.19,2.1,5
Sticker | G2 Esports (Holo) | Antwerp 2022,EUR,3.09,,,,,0,2.85,3.19,3.13,3.12,22,1.97,5.35,3,3.12,65,1.97,5.35,3.14,3.1,135
Sealed Graffiti | Keep the Change (Frog Green),EUR,0.02,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,4,0.02,0.02,0.02,0.02,22,0.02,0.02,0.02,0.02,607
